sample_id	latitude	longitude
SAMN05224435	48.59166667	-123.505
SAMN05224519	48.59166667	-123.505
SAMN05224508	48.59166667	-123.505
SAMN05224529	48.59166667	-123.505
SAMN05224514	48.59166667	-123.505
SAMN05224509	48.59166667	-123.505
SAMN05224521	48.59166667	-123.505
SAMN05224526	48.59166667	-123.505
SAMN05224527	48.59166667	-123.505
SAMN05224493	48.59166667	-123.505
SAMN05224494	48.59166667	-123.505
SAMN05224411	48.59166667	-123.505
SAMN05224404	48.59166667	-123.505
SAMN05224408	48.59166667	-123.505
SAMN05224406	48.59166667	-123.505
SAMN05224409	48.59166667	-123.505
SAMN05224394	48.59166667	-123.505
SAMN05224398	48.59166667	-123.505
SAMN05224397	48.59166667	-123.505
SAMN05224467	48.59166667	-123.505
SAMN05224466	48.59166667	-123.505
SAMN05224478	48.59166667	-123.505
SAMN05224438	48.59166667	-123.505
SAMN05224444	48.59166667	-123.505
SAMEA104408593	58.1323	10.0
SAMEA104408603	56.867	11.4339
SAMN05224462	48.59166667	-123.505
SAMN06264747	54.1883	7.9
SAMN06265043	54.1883	7.9
SAMN06266115	54.1883	7.9
SAMN06264746	54.1883	7.9
SAMN06266116	54.1883	7.9
SAMN06266117	54.1883	7.9
SAMN06264745	54.1883	7.9
SAMN06264902	54.1883	7.9
SAMN06266125	54.1883	7.9
SAMN03173240	54.1842	7.9
SAMN03173239	54.1842	7.9
SAMN07136938	-40.0627	5.52721
SAMEA2622149	-12.9426	-96.0891
SAMEA2623907	43.7416	-16.8824
SAMEA2621295	-30.2463	-43.292
SAMEA2621536	-62.2444	-49.1898
SAMEA4397239	78.9393	79.3224
SAMEA4397903	73.3183	-168.8586
SAMEA4398067	74.3368	-85.5811
SAMEA4398176	70.964	-53.5978
SAMEA104408614	61.7829	19.2952
SAMEA104408609	54.6979	12.7047
SAMN05224440	48.59166667	-123.505
SAMN05224524	48.59166667	-123.505
SAMN05224536	48.59166667	-123.505
SAMN05224416	48.59166667	-123.505
SAMN05422143	-3.03	-27.33
SAMN05421699	9.22	-163.53
SAMD00080421	36.105	142.7261
SAMD00080443	41.8736	146.3193
SAMD00080428	11.3676	142.4241
SAMN09710605	22.75	-158.0
SAMN03169780	54.1742	7.9
SAMN03169776	54.1842	7.9
SAMN05422226	-9.12	-30.19
SAMN05422138	-15.83	-33.41
SAMN05422152	-39.23	135.19
SAMN05421706	-5.75	-170.7407
SAMD00080414	29.15	142.8012
SAMD00080415	29.15	142.8012
SAMD00080441	41.8736	146.3193
SAMD00080427	11.3699	142.4301
SAMEA4397930	71.9052	-154.9234
SAMEA104408615	61.7829	19.2952
SAMEA104408621	57.1162	17.6642
SAMEA104408624	57.3222	20.0506
SAMEA104408626	57.3222	20.0506
SAMN03351358	56.9308	17.0607
SAMN03351401	56.9308	17.0607
SAMN03351406	56.9308	17.0607
SAMN03351403	56.9308	17.0607
SAMN03351418	56.9308	17.0607
SAMN03351416	56.9308	17.0607
SAMN07136799	-32.515	-164.9812
SAMN05422166	-32.8128	12.7692
SAMEA2591098	42.1697	17.7268
SAMEA2619399	36.0552	-6.56275
SAMEA2619548	39.0733	5.88185
SAMEA2623886	43.6849	-16.845
SAMN04874669	38.0685	-0.231994
SAMN04880534	38.0685	-0.231994
SAMN05992381	37.3536	-0.286194
SAMN05992382	37.3536	-0.286194
SAMN05992383	37.3536	-0.286194
SAMN05992384	37.3536	-0.286194
SAMN05992387	38.0685	-0.231994
SAMN07357609	38.0685	-0.231994
SAMN07357612	38.0685	-0.231994
SAMN07357613	38.2703	-0.4209
SAMN10839296	37.3536	-0.286194
SAMN10839273	37.3536	-0.286194
SAMN02954014	38.0685	-0.231994
SAMN02954012	38.0685	-0.231994
SAMN07136487	49.7225	-42.4467
SAMEA4699777	42.52	3.18
SAMEA4699778	42.52	3.18
SAMEA4699779	42.52	3.18
SAMEA4699780	42.52	3.18
SAMEA4699781	42.52	3.18
SAMEA4699783	42.52	3.18
SAMEA4699791	42.52	3.18
SAMEA4699792	42.52	3.18
SAMEA4699793	42.52	3.18
SAMEA4699794	42.52	3.18
SAMEA4699803	42.52	3.18
SAMEA4699804	42.52	3.18
SAMEA4699811	42.52	3.18
SAMEA4699813	42.52	3.18
SAMEA4699814	42.52	3.18
SAMEA4699815	42.52	3.18
SAMEA4699816	42.52	3.18
SAMEA2622568	-23.1976	-129.635
SAMN04578322	20.79	-40.964
SAMEA2620035	19.0134	64.5698
SAMEA2620097	18.7346	66.3896
SAMN04578259	24.51	-34.5537
SAMEA2622048	-25.8208	-111.7492
SAMN05422183	21.51	-23.45
SAMN05422117	-26.91	-21.43
SAMN05422149	19.9897	-52.6367
SAMN05992385	37.3536	-0.286194
SAMEA2620815	-29.5064	37.94
SAMEA2620882	-35.234	26.3362
SAMEA2620995	-31.0379	4.66455
SAMEA2621099	-20.3716	-3.215
SAMN05991725	22.75	-158.0
SAMN05422111	-31.81	6.84
SAMN07136651	-32.092	-37.4563
SAMEA2622733	-8.90345	-140.2853
SAMEA2622737	-8.90345	-140.2853
SAMN07137049	22.75	-158.0
SAMN07137018	22.75	-158.0
SAMN05991716	22.75	-158.0
SAMEA2622677	-8.97545	-139.2412
SAMN05991718	22.75	-158.0
SAMN05422107	7.33	-26.0
SAMN05421901	-22.97	-36.95
SAMN05422194	-28.62	-11.8
SAMN05421563	-33.55	39.89
SAMN05422148	-30.3327	103.3075
SAMN05422136	18.04	-133.26
SAMN05422195	32.0788	-17.2662
SAMEA2619907	18.4658	39.8525
SAMEA2622837	-8.9051	-142.5614
SAMEA2623098	31.53	-159.0446
SAMEA2623794	34.116	-49.7588
SAMN05991732	22.75	-158.0
SAMN05991697	22.75	-158.0
SAMN05991683	22.75	-158.0
SAMEA2621242	-20.952	-35.2268
SAMN06267278	79.2466	-150.0613
SAMEA2622796	-9.0692	-140.616
SAMEA2622695	-8.98475	-139.1835
SAMEA2622800	-9.0692	-140.616
SAMEA2622801	-9.0692	-140.616
SAMEA2620106	18.7346	66.3896
SAMEA2620039	19.0134	64.5698
SAMEA2623275	14.2026	-116.6298
SAMEA2619888	18.3992	39.865
SAMN09765694	22.75	-158.0
SAMN09765709	22.75	-158.0
SAMN09765705	22.75	-158.0
SAMN09765684	22.75	-158.0
SAMN09765685	22.75	-158.0
SAMN03169778	54.1742	7.9
SAMN05422128	14.52	-26.0
SAMN05421660	7.33	-26.0
SAMN05421707	-29.81	82.62
SAMN05422163	12.0	-108.06
SAMN05991734	22.75	-158.0
SAMN05991704	22.75	-158.0
SAMN05991706	22.75	-158.0
SAMEA2622823	-8.90305	-142.59
SAMEA4397983	74.3048	-85.6984
SAMEA4398150	72.4077	-71.9524
SAMN06267282	73.2247	-150.2247
SAMN06267285	75.235	-150.0691
SAMN06267288	77.0991	-150.2252
SAMEA4398413	61.5441	-55.9866
SAMEA4398219	70.9279	-53.5238
SAMEA2623627	39.2239	-71.0352
SAMN07136486	49.7225	-42.4467
SAMN07136488	49.7225	-42.4467
SAMEA104408594	58.1323	10.0
SAMN07510720	45.0	153.5
SAMN07136581	17.4	-24.5
SAMEA2620339	0.0033	71.6428
SAMEA2622173	-5.25345	-85.1896
SAMEA2591122	33.9268	32.772
SAMEA2622097	-12.9756	-96.0026
SAMEA2622452	-16.9578	-100.663
